HAGRID,Species,Name,Longevity,Kingdom,Phylum,Class,Order,Family,Genus,Maximum longevity,Female sexual maturity,Male sexual maturity,Gestation,Weaning,Litter size,Litters per year,Inter-litter interval,Weight at birth,Weight at weaning,Adult weight,Postnatal growth rate,Maximum longevity residual,Typical body temperature,Basal metabolic rate,Body mass,Metabolic rate per body mass,Taxonomy,Common name,Source,Sample size,Data quality,Observations,Integrated Taxonomic Information System,Animal Diversity Web,Encyclopaedia of Life,NCBI Taxonomy,Entrez,Ageing Literature,Images,Internet,Synonyms,,Incubation,Clutch size,Clutches per year,Weight at hatching,IMR,MRDT,Metamorphosis,Resting metabolic rate,Interbirth interval,Clutch or litter size,Breedings per year,GenAge,GenDR
3242,Orycteropus afer,Aardvark,29.8, Animalia, Chordata, Mammalia (Taxon entry), Tubulidentata, Orycteropodidae, Orycteropus,29.8 years  (captivity),730 days,730 days,225 days,103 days,1  (viviparous),1,365 days,"1,800 g","6,250 g","60,000 g",0.0094 days-1 (from Gompertz function),113%,308ºK or 34.5ºC or 94.1ºF,34.2750 W,48000.0 g,0.000714 W/g,"Kingdom: Animalia
    Phylum: Chordata
        Class: Mammalia (Taxon entry)
            Order: Tubulidentata
                Family: Orycteropodidae
                    Genus: Orycteropus",Aardvark,ref. 671,Medium,Acceptable,One captive specimen lived for 29.8 years [0671].,ITIS 584927,ADW account,Search EOL,Taxonomy ID 9818,Search all databases,Search Google Scholar or Search PubMed,Google Image search,Search Google,,,,,,,,,,,,,,,
2161,Proteles cristata,Aardwolf,20, Animalia, Chordata, Mammalia (Taxon entry), Carnivora, Hyaenidae, Proteles,20 years  (captivity),631 days,,84 days,132 days,2.5  (viviparous),,,275 g,,"10,000 g",,100%,310ºK or 36.4ºC or 97.5ºF,11.5630 W,7902.6 g,0.001463 W/g,"Kingdom: Animalia
    Phylum: Chordata
        Class: Mammalia (Taxon entry)
            Order: Carnivora
                Family: Hyaenidae
                    Genus: Proteles",Aardwolf,ref. 671,Small,Acceptable,One wild born female was about 20 years old when she died in captivity [0671].,ITIS 726269,ADW account,Search EOL,,Search all databases,Search Google Scholar or Search PubMed,Google Image search,Search Google,Proteles cristatus,,,,,,,,,,,,,,
3296,Chilabothrus exsul,Abaco Island boa,21.7, Animalia, Chordata, Reptilia (Taxon entry), Squamata, Boidae, Chilabothrus,21.7 years  (captivity),,,,,,,,,,,,,,,,,"Kingdom: Animalia
    Phylum: Chordata
        Class: Reptilia (Taxon entry)
            Order: Squamata
                Family: Boidae
                    Genus: Chilabothrus",Abaco Island boa,ref. 485,Small,Acceptable,No observations are presently available,ITIS 951216,ADW account  (if available),Search EOL,,Search all databases,Search Google Scholar or Search PubMed,Google Image search,Search Google,Epicrates exsul,No information is available on life history. Please contact us if you wish to suggest or contribute data.,,,,,,,,,,,,,
570,Ciconia abdimii,Abdim's stork,21.6, Animalia, Chordata, Aves (Taxon entry), Ciconiiformes, Ciconiidae, Ciconia,21.6 years  (captivity),,,,,,,,,,"1,398 g",,,,,,,"Kingdom: Animalia
    Phylum: Chordata
        Class: Aves (Taxon entry)
            Order: Ciconiiformes
                Family: Ciconiidae
                    Genus: Ciconia",Abdim's stork,ref. 668,Medium,Acceptable,One captive specimen lived for 21.6 years [0668].,ITIS 174906,ADW account  (if available),Search EOL,Taxonomy ID 39789,Search all databases,Search Google Scholar or Search PubMed,Google Image search,Search Google,,,,(oviparous),,,,,,,,,,,
3159,Sciurus aberti,Abert's squirrel,Not yet established, Animalia, Chordata, Mammalia (Taxon entry), Rodentia, Sciuridae, Sciurus,Not yet established,327 days,,43 days,76 days,3.5  (viviparous),1.5,,12 g,355 g,702.5 g,,,314ºK or 40.7ºC or 105.3ºF,2.4020 W,624.0 g,0.003849 W/g,"Kingdom: Animalia
    Phylum: Chordata
        Class: Mammalia (Taxon entry)
            Order: Rodentia
                Family: Sciuridae
                    Genus: Sciurus",Abert's squirrel,,,,"Little is known about the longevity of these animals, but one specimen lived 7 years in captivity [0671].",ITIS 180173,ADW account  (if available),Search EOL,Taxonomy ID 10007,Search all databases,Search Google Scholar or Search PubMed,Google Image search,Search Google,,,,,,,,,,,,,,,
1180,Melozone aberti,Abert's towhee,8.6, Animalia, Chordata, Aves (Taxon entry), Passeriformes, Passerellidae, Melozone,8.6 years  (wild),365 days,365 days,,,,,,,,46 g,0.476 days-1 (from logistic function),,Not yet available,0.7342 W,46.6 g,0.015756 W/g,"Kingdom: Animalia
    Phylum: Chordata
        Class: Aves (Taxon entry)
            Order: Passeriformes
                Family: Passerellidae
                    Genus: Melozone",Abert's towhee,ref. 580,Medium,Acceptable,No observations are presently available,ITIS 997739,ADW account  (if available),Search EOL,Taxonomy ID 40201,Search all databases,Search Google Scholar or Search PubMed,Google Image search,Search Google,"Pipilo aberti,  Kieneria aberti",,14 days,3  (oviparous),1.5,3.63 g,,,,,,,,,
2260,Genetta abyssinica,Abyssinian genet,Not yet established, Animalia, Chordata, Mammalia (Taxon entry), Carnivora, Viverridae, Genetta,Not yet established,,,,,(viviparous),,,,,"1,650 g",,,,,,,"Kingdom: Animalia
    Phylum: Chordata
        Class: Mammalia (Taxon entry)
            Order: Carnivora
                Family: Viverridae
                    Genus: Genetta",Abyssinian genet,,,,"Little is known about the longevity of these animals, but one specimen lived 13.8 years in captivity [0671].",ITIS 621989,ADW account  (if available),Search EOL,,Search all databases,Search Google Scholar or Search PubMed,Google Image search,Search Google,,,,,,,,,,,,,,,
3091,Thallomys paedulcus,Acacia rat,Not yet established, Animalia, Chordata, Mammalia (Taxon entry), Rodentia, Muridae, Thallomys,Not yet established,109 days,,26 days,30 days,3.5  (viviparous),,26 days,2.65 g,,80 g,,,310ºK or 36.7ºC or 98.1ºF,0.4870 W,132.4 g,0.003678 W/g,"Kingdom: Animalia
    Phylum: Chordata
        Class: Mammalia (Taxon entry)
            Order: Rodentia
                Family: Muridae
                    Genus: Thallomys",Acacia rat,,,,"The longevity of these animals has not been studied in detail. Nonetheless, one captive specimen lived for 3.5 years [0671].",ITIS 585595,ADW account  (if available),Search EOL,Taxonomy ID 332673,Search all databases,Search Google Scholar or Search PubMed,Google Image search,Search Google,"Mus moggi,  Thamnomys ruddi,  Thallomys stevensoni,  Thallomys zambesiana,  Mus moggi acaciae,  Thallomys moggi lebomboensis",,,,,,,,,,,,,,
1323,Empidonax virescens,Acadian flycatcher,12.1, Animalia, Chordata, Aves (Taxon entry), Passeriformes, Tyrannidae, Empidonax,12.1 years  (wild),365 days,365 days,,,,,,,,12.6 g,,,Not yet available,0.1795 W,12.3 g,0.014593 W/g,"Kingdom: Animalia
    Phylum: Chordata
        Class: Aves (Taxon entry)
            Order: Passeriformes
                Family: Tyrannidae
                    Genus: Empidonax",Acadian flycatcher,ref. 427,Medium,Acceptable,No observations are presently available,ITIS 178339,ADW account,Search EOL,Taxonomy ID 209628,Search all databases,Search Google Scholar or Search PubMed,Google Image search,Search Google,,,13 days,3  (oviparous),1,1.9 g,,,,,,,,,
1419,Melanerpes formicivorus,Acorn woodpecker,17.2, Animalia, Chordata, Aves (Taxon entry), Piciformes, Picidae, Melanerpes,17.2 years  (wild),694 days,766 days,,,,,,,,79.7 g,,,Not yet available,0.7370 W,73.0 g,0.010096 W/g,"Kingdom: Animalia
    Phylum: Chordata
        Class: Aves (Taxon entry)
            Order: Piciformes
                Family: Picidae
                    Genus: Melanerpes",Acorn woodpecker,ref. 427,Medium,Acceptable,No observations are presently available,ITIS 178189,ADW account  (if available),Search EOL,Taxonomy ID 211600,Search all databases,Search Google Scholar or Search PubMed,Google Image search,Search Google,,,14 days,4  (oviparous),2,4.7 g,,,,,,,,,
1896,Addax nasomaculatus,Addax,28, Animalia, Chordata, Mammalia (Taxon entry), Artiodactyla, Bovidae, Addax,28 years  (captivity),"1,065 days",,282 days,198 days,1  (viviparous),1,355 days,"5,600 g",,"92,500 g",,99%,,,,,"Kingdom: Animalia
    Phylum: Chordata
        Class: Mammalia (Taxon entry)
            Order: Artiodactyla
                Family: Bovidae
                    Genus: Addax",Addax,ref. 671,Large,High,One wild born specimen was about 28 years old when it died in captivity [0671].,ITIS 625175,ADW account  (if available),Search EOL,Taxonomy ID 59515,Search all databases,Search Google Scholar or Search PubMed,Google Image search,Search Google,,,,,,,,,,,,,,,
1143,Setophaga adelaidae,Adelaide's warbler,10.6, Animalia, Chordata, Aves (Taxon entry), Passeriformes, Parulidae, Setophaga,10.6 years  (wild),,,,,,,,,,7 g,,,,,,,"Kingdom: Animalia
    Phylum: Chordata
        Class: Aves (Taxon entry)
            Order: Passeriformes
                Family: Parulidae
                    Genus: Setophaga",Adelaide's warbler,ref. 0427,Medium,Acceptable,No observations are presently available,ITIS 950053,ADW account  (if available),Search EOL,,Search all databases,Search Google Scholar or Search PubMed,Google Image search,Search Google,Dendroica adelaidae,,,(oviparous),,,,,,,,,,,
4443,Pegusa impar,Adriatic sole,12, Animalia, Chordata, Teleostei, Pleuronectiformes, Soleidae, Pegusa,12 years  (wild),,,,,,,,,,,,,,,,,"Kingdom: Animalia
    Phylum: Chordata
        Class: Teleostei
            Order: Pleuronectiformes
                Family: Soleidae
                    Genus: Pegusa",Adriatic sole,ref. 454,Medium,Acceptable,No observations are presently available,ITIS 616606,ADW account  (if available),Search EOL,Taxonomy ID 90067,Search all databases,Search Google Scholar or Search PubMed,Google Image search,Search Google,Solea impar,No information is available on life history. Please contact us if you wish to suggest or contribute data.,,,,,,,,,,,,,
2850,Calomyscus mystax,Afghan mouse-like hamster,Not yet established, Animalia, Chordata, Mammalia (Taxon entry), Rodentia, Calomyscidae, Calomyscus,Not yet established,,,,,5  (viviparous),2,,,,20.4 g,,,,,,,"Kingdom: Animalia
    Phylum: Chordata
        Class: Mammalia (Taxon entry)
            Order: Rodentia
                Family: Calomyscidae
                    Genus: Calomyscus",Afghan mouse-like hamster,,,,"Little is known about the longevity of these animals, but one specimen was still alive after more than 5.4 years in captivity [0671].",ITIS 632753,ADW account  (if available),Search EOL,Taxonomy ID 109677,Search all databases,Search Google Scholar or Search PubMed,Google Image search,Search Google,,,,,,,,,,,,,,,
152,Paradactylodon mustersi,Afghanistan salamander,11, Animalia, Chordata, Amphibia (Taxon entry), Caudata, Hynobiidae, Paradactylodon,11 years  (captivity),,,,,,,,,,,,,,,,,"Kingdom: Animalia
    Phylum: Chordata
        Class: Amphibia (Taxon entry)
            Order: Caudata
                Family: Hynobiidae
                    Genus: Paradactylodon",Afghanistan salamander,ref. 451,Small,Acceptable,No observations are presently available,ITIS 775880,ADW account  (if available),Search EOL,Taxonomy ID 324332,Search all databases,Search Google Scholar or Search PubMed,Google Image search,Search Google,Batrachuperus mustersi,No information is available on life history. Please contact us if you wish to suggest or contribute data.,,,,,,,,,,,,,
3989,Nothobranchius,African annual fishes,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4666,Adansonia digitata,African baobab,2500, Plantae (Taxon entry), Tracheophyta, Magnoliopsida, Malvales, Malvaceae, Adansonia,"2,500 years  (wild)",,,,,,,,,,,,,,,,,"Kingdom: Plantae (Taxon entry)
    Phylum: Tracheophyta
        Class: Magnoliopsida
            Order: Malvales
                Family: Malvaceae
                    Genus: Adansonia",African baobab,ref. 1423,Small,Acceptable,"One specimen may have lived for more than 2500 years, based on radiocarbon dating [1423].",ITIS 21591,ADW account  (if available),Search EOL,,Search all databases,Search Google Scholar or Search PubMed,Google Image search,Search Google,,No information is available on life history. Please contact us if you wish to suggest or contribute data.,,,,,,,,,,,,,
3005,Atherurus africanus,African brush-tailed porcupine,22.9, Animalia, Chordata, Mammalia (Taxon entry), Rodentia, Hystricidae, Atherurus,22.9 years  (captivity),,,106 days,,1.5  (viviparous),2.5,,150 g,,"2,750 g",,139%,,,,,"Kingdom: Animalia
    Phylum: Chordata
        Class: Mammalia (Taxon entry)
            Order: Rodentia
                Family: Hystricidae
                    Genus: Atherurus",African brush-tailed porcupine,ref. 671,Small,Acceptable,"One captive specimen reportedly lived 22.9 years [0434], which is plausible. Another specimen lived 21.1 years in captivity [0671].",ITIS 584678,ADW account,Search EOL,Taxonomy ID 192881,Search all databases,Search Google Scholar or Search PubMed,Google Image search,Search Google,,,,,,,,,,,,,,,
1995,Syncerus caffer,African buffalo,32.8, Animalia, Chordata, Mammalia (Taxon entry), Artiodactyla, Bovidae, Syncerus,32.8 years  (captivity),"1,475 days","1,674 days",331 days,289 days,1  (viviparous),0.4,635 days,"44,000 g","166,000 g","700,000 g",0.0026 days-1 (from Gompertz function),85%,,,,,"Kingdom: Animalia
    Phylum: Chordata
        Class: Mammalia (Taxon entry)
            Order: Artiodactyla
                Family: Bovidae
                    Genus: Syncerus",African buffalo,"Thomas Brockmann, pers. comm.",Medium,Acceptable,"These animals live up to 18 years in the wild [0434]. One captive female was 32.8 years of age when she died in 2015 at Dresden Zoo (Thomas Brockmann, pers. comm.).",ITIS 183847,ADW account  (if available),Search EOL,Taxonomy ID 9970,Search all databases,Search Google Scholar or Search PubMed,Google Image search,Search Google,,,,,,,,,,,,,,,
108,Pyxicephalus adspersus,African bullfrog,45, Animalia, Chordata, Amphibia (Taxon entry), Anura, Pyxicephalidae, Pyxicephalus,45 years  (captivity),,,,,,,,,,,,,,,,,"Kingdom: Animalia
    Phylum: Chordata
        Class: Amphibia (Taxon entry)
            Order: Anura
                Family: Pyxicephalidae
                    Genus: Pyxicephalus",African bullfrog,ref. 451,Medium,Acceptable,"These are the largest South African amphibians, with males reaching 1400g [0749].",ITIS 665251,ADW account,Search EOL,Taxonomy ID 30357,Search all databases,Search Google Scholar or Search PubMed,Google Image search,Search Google,"Bombinator adspersus,  Tomopterna adspersa,  Rana adspersa,  Rana adspersus,  Rana adspersa adspersa,  Pyxicephalus adspersus adspersus",No information is available on life history. Please contact us if you wish to suggest or contribute data.,,,,,,,,,,,,,
2839,Loxodonta africana,African bush elephant,65, Animalia, Chordata, Mammalia (Taxon entry), Proboscidea, Elephantidae, Loxodonta,65 years  (captivity),"4,018 days","3,650 days",670 days,"1,071 days",1  (viviparous),0.2,"1,707 days","105,000 g","600,000 g","4,800,000 g",0.0003 days-1 (from Gompertz function),126%,309ºK or 36.2ºC or 97.2ºF,Not yet available,,,"Kingdom: Animalia
    Phylum: Chordata
        Class: Mammalia (Taxon entry)
            Order: Proboscidea
                Family: Elephantidae
                    Genus: Loxodonta",African bush elephant,ref. 671,Large,Acceptable,"Under optimal conditions, males attain sexually maturity at about 10 years of age and females at 11 years of age. Some animals, however, may not reach sexual maturity until they are 20 years old, and males generally do not reproduce until they are over 20 years of age. Elephants are long-lived mammals, but probably not as long-lived as often cited. Females remain fertile for about 55-60 years and elephants have been estimated to live up to 70 years in the wild [0434]. More conservative estimates suggest elephants live up to 65 years in the wild [0536]. In captivity, there are anecdotal reports of animals living over 80 years. Record longevity, however, belongs to one wild born female that was still living at 53-54 years of age [0671]. Despite having as much as six sets of molars in a lifetime, elephants suffer from teeth erosion as a type of mechanical senescence.",ITIS 584939,ADW account  (if available),Search EOL,Taxonomy ID 9785,Search all databases,Search Google Scholar or Search PubMed,Google Image search,Search Google,,,,,,,0.002/year,8 years,,,,,,,
4561,Bagrus bajad,African catfish,17, Animalia, Chordata, Teleostei, Siluriformes, Bagridae, Bagrus,17 years  (captivity),"1,642 days","1,642 days",,,,,,,,"6,875 g",,,,,,,"Kingdom: Animalia
    Phylum: Chordata
        Class: Teleostei
            Order: Siluriformes
                Family: Bagridae
                    Genus: Bagrus",African catfish,ref. 583,Small,Acceptable,No observations are presently available,ITIS 680903,ADW account  (if available),Search EOL,Taxonomy ID 1027340,Search all databases,Search Google Scholar or Search PubMed,Google Image search,Search Google,Bagrus bayad,,,,,,,,,,,,,,
2258,Civettictis civetta,African civet,28, Animalia, Chordata, Mammalia (Taxon entry), Carnivora, Viverridae, Civettictis,28 years  (captivity),365 days,213 days,65 days,120 days,2.5  (viviparous),2.2,221 days,380.5 g,"1,514 g","13,667 g",,133%,,,,,"Kingdom: Animalia
    Phylum: Chordata
        Class: Mammalia (Taxon entry)
            Order: Carnivora
                Family: Viverridae
                    Genus: Civettictis",African civet,ref. 671,Small,Acceptable,"In captivity, these animals may live up to 28 years [0671].",ITIS 621988,ADW account,Search EOL,Taxonomy ID 94186,Search all databases,Search Google Scholar or Search PubMed,Google Image search,Search Google,,,,,,,,,,,,,,,
107,Xenopus laevis,African clawed frog,30.3, Animalia, Chordata, Amphibia (Taxon entry), Anura, Pipidae, Xenopus,30.3 years  (captivity),183 days,,,,,,,,,130 g,,,288ºK or 14.9ºC or 58.7ºF,,63.6 g,0.000189 W/g,"Kingdom: Animalia
    Phylum: Chordata
        Class: Amphibia (Taxon entry)
            Order: Anura
                Family: Pipidae
                    Genus: Xenopus",African clawed frog,ref. 451,Large,Acceptable,"This animal does not show explicit signs of ageing [0010]. Reproductive senescence has not been demonstrated, but growth rates appear to slow down with age. Increased tensile strength in tendon collagen with age, a frequent marker of ageing in mammals, has been reported [0526].",ITIS 173549,ADW account  (if available),Search EOL,Taxonomy ID 8355,Search all databases,Search Google Scholar or Search PubMed,Google Image search,Search Google,"Bufo laevis,  Pipa laevis,  Pipa bufonia,  Engystoma laevis,  Xenopus boiei,  Dactylethra bufonia,  Dactylethra laevis,  Dactylethra capensis,  Tremeropugus typicus,  Xenopus bojei,  Leptopus oxydactylus,  Pipa africana,  Dactylethera boiei,  Dactylethra levis,  Dactylethra delalandii,  Dactylethera laevis,  Xenopus laevis laevis",,2 days,(oviparous),,,,,,0.0120 W,,,,,
2167,Aonyx capensis,African clawless otter,14.2, Animalia, Chordata, Mammalia (Taxon entry), Carnivora, Mustelidae, Aonyx,14.2 years  (captivity),365 days,365 days,63 days,53 days,2.5  (viviparous),,,"1,050 g","3,360 g","23,500 g",,62%,,,,,"Kingdom: Animalia
    Phylum: Chordata
        Class: Mammalia (Taxon entry)
            Order: Carnivora
                Family: Mustelidae
                    Genus: Aonyx",African clawless otter,ref. 671,Small,Acceptable,One specimen of the /congicus/ subspecies lived 14.2 years in captivity [0671]. Anecdotal reports suggest these animals may live up to 16 years.,ITIS 621911,ADW account,Search EOL,Taxonomy ID 76722,Search all databases,Search Google Scholar or Search PubMed,Google Image search,Search Google,"Aonyx congicus,  Aonyx congicus microdon,  Aonyx congicus congicus,  Aonyx capensis meneleki,  Aonyx capensis hindei,  Aonyx capensis capensis,  Aonyx capensis congica,  Aonyx capensis microdon,  Aonyx capensis philippsi,  Aonyx capensis congicus,  Paraonyx congicus,  Lutra capensis,  Lutra inunguis,  Aonyx delalandi,  Anahyster calabaricus,  Lutra lenoiri",,,,,,,,,,,,,,
3336,Dasypeltis atra,African egg-eating snake,Not yet established, Animalia, Chordata, Reptilia (Taxon entry), Squamata, Colubridae, Dasypeltis,Not yet established,,,,,,,,,,72.25 g,,,,,,,"Kingdom: Animalia
    Phylum: Chordata
        Class: Reptilia (Taxon entry)
            Order: Squamata
                Family: Colubridae
                    Genus: Dasypeltis",African egg-eating snake,,,,"Not much is known about the longevity of these animals, though they have been reported to live up to 5.2 years [0485]. Considering the longevity of similar species, maximum longevity could be significantly underestimated.",ITIS 1081714,ADW account  (if available),Search EOL,Taxonomy ID 186579,Search all databases,Search Google Scholar or Search PubMed,Google Image search,Search Google,,,,,,,,,,,,,,,
3469,Hemitheconyx caudicinctus,African fat-tailed gecko,16.2, Animalia, Chordata, Reptilia (Taxon entry), Squamata, Eublepharidae, Hemitheconyx,16.2 years  (captivity),,,,,,,,,,39.17 g,,,,,,,"Kingdom: Animalia
    Phylum: Chordata
        Class: Reptilia (Taxon entry)
            Order: Squamata
                Family: Eublepharidae
                    Genus: Hemitheconyx",African fat-tailed gecko,ref. 451,Medium,Acceptable,No observations are presently available,ITIS 818747,ADW account,Search EOL,Taxonomy ID 96741,Search all databases,Search Google Scholar or Search PubMed,Google Image search,Search Google,,,,,,,,,,,,,,,
2136,Profelis aurata,African golden cat,21, Animalia, Chordata, Mammalia (Taxon entry), Carnivora, Felidae, Profelis,21 years  (captivity),651 days,,81 days,,2  (viviparous),,,248.33 g,,"10,650 g",,104%,,,,,"Kingdom: Animalia
    Phylum: Chordata
        Class: Mammalia (Taxon entry)
            Order: Carnivora
                Family: Felidae
                    Genus: Profelis",African golden cat,ref. 671,Small,Acceptable,One wild born specimen lived could have been 21 years old when it died in captivity [0671].,ITIS 621874,ADW account,Search EOL,Taxonomy ID 61412,Search all databases,Search Google Scholar or Search PubMed,Google Image search,Search Google,,,,,,,,,,,,,,,
3367,Lamprophis fuliginosus,African house snake,9, Animalia, Chordata, Reptilia (Taxon entry), Squamata, Colubridae, Lamprophis,9 years,182 days,182 days,,,,,,,,,,,,,,,"Kingdom: Animalia
    Phylum: Chordata
        Class: Reptilia (Taxon entry)
            Order: Squamata
                Family: Colubridae
                    Genus: Lamprophis",African house snake,ref. 759,Medium,Acceptable,These animals reach sexual maturity in their first year of life [0759].,,ADW account  (if available),Search EOL,,Search all databases,Search Google Scholar or Search PubMed,Google Image search,Search Google,,,,,,,,,,,,,,,
4093,Xenomystus nigri,African knifefish,11.4, Animalia, Chordata, Teleostei, Osteoglossiformes, Notopteridae, Xenomystus,11.4 years  (captivity),,,,,,,,,,,,,,,,,"Kingdom: Animalia
    Phylum: Chordata
        Class: Teleostei
            Order: Osteoglossiformes
                Family: Notopteridae
                    Genus: Xenomystus",African knifefish,ref. 520,Medium,Acceptable,No observations are presently available,ITIS 161913,ADW account  (if available),Search EOL,Taxonomy ID 112162,Search all databases,Search Google Scholar or Search PubMed,Google Image search,Search Google,Notopterus nigri,No information is available on life history. Please contact us if you wish to suggest or contribute data.,,,,,,,,,,,,,
3797,Anguilla mossambica,African longfin eel,20, Animalia, Chordata, Teleostei, Anguilliformes, Anguillidae, Anguilla,20 years  (wild),,,,,,,,,,412.5 g,,,,,,,"Kingdom: Animalia
    Phylum: Chordata
        Class: Teleostei
            Order: Anguilliformes
                Family: Anguillidae
                    Genus: Anguilla",African longfin eel,ref. 454,Medium,Acceptable,No observations are presently available,ITIS 635477,ADW account  (if available),Search EOL,Taxonomy ID 48164,Search all databases,Search Google Scholar or Search PubMed,Google Image search,Search Google,,,,,,,,,,,,,,,
1882,Protopterus annectens,African lungfish,18, Animalia, Chordata, Dipnoi, Lepidosireniformes, Protopteridae, Protopterus,18 years  (captivity),,,,,,,,,,,,,,,,,"Kingdom: Animalia
    Phylum: Chordata
        Class: Dipnoi
            Order: Lepidosireniformes
                Family: Protopteridae
                    Genus: Protopterus",African lungfish,ref. 520,Small,Acceptable,"Lungfishes have been reported to live more than 20 years in captivity [0654], but this has not been confirmed.",ITIS 649769,ADW account  (if available),Search EOL,Taxonomy ID 7888,Search all databases,Search Google Scholar or Search PubMed,Google Image search,Search Google,"Protopterus annectans,  Lepidosiren annectens,  Lepidosiren tobal,  Protopterus annectens brieni",No information is available on life history. Please contact us if you wish to suggest or contribute data.,,,,,,,,,,,,,
2844,Cryptomys hottentotus,African mole rat,11, Animalia, Chordata, Mammalia (Taxon entry), Rodentia, Bathyergidae, Cryptomys,11 years  (captivity),450 days,,81 days,46 days,2.86  (viviparous),1.5,132 days,8.63 g,26.1 g,132.5 g,,106%,308ºK or 34.4ºC or 93.9ºF,0.3500 W,78.9 g,0.004436 W/g,"Kingdom: Animalia
    Phylum: Chordata
        Class: Mammalia (Taxon entry)
            Order: Rodentia
                Family: Bathyergidae
                    Genus: Cryptomys",African mole rat,ref. 671,Small,Questionable,"Considering the longevity of similar species, the maximum longevity of this species could be significantly underestimated.",ITIS 584671,ADW account  (if available),Search EOL,Taxonomy ID 10175,Search all databases,Search Google Scholar or Search PubMed,Google Image search,Search Google,,,,,,,,,,,,,,,
568,Anastomus lamelligerus,African openbill,Not yet established, Animalia, Chordata, Aves (Taxon entry), Ciconiiformes, Ciconiidae, Anastomus,Not yet established,,,,,,,,,,"1,081 g",,,,,,,"Kingdom: Animalia
    Phylum: Chordata
        Class: Aves (Taxon entry)
            Order: Ciconiiformes
                Family: Ciconiidae
                    Genus: Anastomus",African openbill,,,,"One animal was still alive after 7 years in captivity [0668]. Considering the longevity of similar species, however, maximum longevity is likely underestimated and more detailed studies necessary.",ITIS 174903,ADW account  (if available),Search EOL,,Search all databases,Search Google Scholar or Search PubMed,Google Image search,Search Google,,,,(oviparous),,,,,,,,,,,
2206,Nandinia binotata,African palm civet,21, Animalia, Chordata, Mammalia (Taxon entry), Carnivora, Nandiniidae, Nandinia,21 years  (captivity),"1,095 days","1,095 days",64 days,64 days,2  (viviparous),2,182 days,55 g,,"1,900 g",,135%,311ºK or 37.4ºC or 99.3ºF,5.5650 W,4270.0 g,0.001303 W/g,"Kingdom: Animalia
    Phylum: Chordata
        Class: Mammalia (Taxon entry)
            Order: Carnivora
                Family: Nandiniidae
                    Genus: Nandinia",African palm civet,ref. 671,Tiny,Acceptable,Captive specimens may live up to 21 years [0671].,ITIS 621980,ADW account,Search EOL,Taxonomy ID 71115,Search all databases,Search Google Scholar or Search PubMed,Google Image search,Search Google,,,,,,,,,,,,,,,
3009,Hystrix cristata,African porcupine,28, Animalia, Chordata, Mammalia (Taxon entry), Rodentia, Hystricidae, Hystrix,28 years  (captivity),,,66 days,,2.3  (viviparous),2,,"1,000 g",,"20,000 g",,125%,,,,,"Kingdom: Animalia
    Phylum: Chordata
        Class: Mammalia (Taxon entry)
            Order: Rodentia
                Family: Hystricidae
                    Genus: Hystrix",African porcupine,ref. 671,Medium,Acceptable,"One wild born specimen was about 28 years old when it died in captivity [0671], making it one of the longest-lived rodents.",ITIS 584681,ADW account  (if available),Search EOL,Taxonomy ID 10137,Search all databases,Search Google Scholar or Search PubMed,Google Image search,Search Google,,,,,,,,,,,,,,,
3550,Python sebae,African rock python,27.3, Animalia, Chordata, Reptilia (Taxon entry), Squamata, Pythonidae, Python,27.3 years  (captivity),"1,461 days","1,461 days",,,,,,,,"73,000 g",,,,,,,"Kingdom: Animalia
    Phylum: Chordata
        Class: Reptilia (Taxon entry)
            Order: Squamata
                Family: Pythonidae
                    Genus: Python",African rock python,ref. 485,Medium,Acceptable,No observations are presently available,ITIS 634785,ADW account,Search EOL,Taxonomy ID 51752,Search all databases,Search Google Scholar or Search PubMed,Google Image search,Search Google,"Python sebae sebae,  Coluber sebae",,72 days,,,,,,,,,,,,
3261,Mecistops cataphractus,African slender-snouted crocodile,56.1, Animalia, Chordata, Reptilia (Taxon entry), Crocodilia, Crocodylidae, Mecistops,56.1 years  (captivity),"4,566 days","4,566 days",,,,,,,,"50,500 g",,,,,,,"Kingdom: Animalia
    Phylum: Chordata
        Class: Reptilia (Taxon entry)
            Order: Crocodilia
                Family: Crocodylidae
                    Genus: Mecistops",African slender-snouted crocodile,ref. 485,Medium,Acceptable,No observations are presently available,ITIS 845140,ADW account,Search EOL,Taxonomy ID 184780,Search all databases,Search Google Scholar or Search PubMed,Google Image search,Search Google,"Crocodylus cataphractus,  Mecistops bennettii",,75 days,,,,,,,,,,,,
3791,Trionyx triunguis,African softshell turtle,50.6, Animalia, Chordata, Reptilia (Taxon entry), Testudines (Taxon entry), Trionychidae, Trionyx,50.6 years  (captivity),,,,,,,,,,"10,818 g",,,,,,,"Kingdom: Animalia
    Phylum: Chordata
        Class: Reptilia (Taxon entry)
            Order: Testudines (Taxon entry)
                Family: Trionychidae
                    Genus: Trionyx",African softshell turtle,ref. 451,Small,Acceptable,No observations are presently available,ITIS 551876,ADW account  (if available),Search EOL,Taxonomy ID 101491,Search all databases,Search Google Scholar or Search PubMed,Google Image search,Search Google,"Trionyx egyptiacus,  Trionyx niloticus,  Trionyx mortoni,  Aspidonectes aspilus,  Fordia africana,  Trionyx triunguis rudolfianus",,,,,,,,,,,,,,
