HAGRID,Species,Name,Longevity,Kingdom,Phylum,Class,Order,Family,Genus,Maximum longevity,Female sexual maturity,Male sexual maturity,Gestation,Weaning,Litter size,Litters per year,Inter-litter interval,Weight at birth,Weight at weaning,Adult weight,Postnatal growth rate,Maximum longevity residual,Typical body temperature,Basal metabolic rate,Body mass,Metabolic rate per body mass,Taxonomy,Common name,Source,Sample size,Data quality,Observations,Integrated Taxonomic Information System,Animal Diversity Web,Encyclopaedia of Life,NCBI Taxonomy,Entrez,Ageing Literature,Images,Internet,Synonyms,,Incubation,Clutch size,Clutches per year,Weight at hatching,IMR,MRDT,Metamorphosis,Resting metabolic rate,Interbirth interval,Clutch or litter size,Breedings per year,GenAge,GenDR
2599,Lepus timidus,Mountain hare,18, Animalia, Chordata, Mammalia (Taxon entry), Lagomorpha, Leporidae, Lepus,18 years  (wild),266 days,,50 days,23 days,2  (viviparous),2.1,50 days,107.93 g,492 g,"4,175 g",,102%,313ºK or 39.7ºC or 103.5ºF,8.4430 W,3014.5 g,0.002801 W/g,"Kingdom: Animalia
    Phylum: Chordata
        Class: Mammalia (Taxon entry)
            Order: Lagomorpha
                Family: Leporidae
                    Genus: Lepus",Mountain hare,ref. 640,Medium,Acceptable,One marked animal lived for 18 years in the wild [0640].,ITIS 180113,ADW account  (if available),Search EOL,Taxonomy ID 62621,Search all databases,Search Google Scholar or Search PubMed,Google Image search,Search Google,"Lepus othus tschuktschorum,  Lepus timidus tschuktschorum",,,,,,,,,,,,,,
4571,Noturus eleutherus,Mountain madtom,5, Animalia, Chordata, Teleostei, Siluriformes, Ictaluridae, Noturus,5 years  (wild),,,,,,,,,,,,,,,,,"Kingdom: Animalia
    Phylum: Chordata
        Class: Teleostei
            Order: Siluriformes
                Family: Ictaluridae
                    Genus: Noturus",Mountain madtom,ref. 454,Medium,Acceptable,No observations are presently available,ITIS 164009,ADW account  (if available),Search EOL,Taxonomy ID 236593,Search all databases,Search Google Scholar or Search PubMed,Google Image search,Search Google,Schilbeodes gallowayi,No information is available on life history. Please contact us if you wish to suggest or contribute data.,,,,,,,,,,,,,
2941,Cuniculus taczanowskii,Mountain paca,18.9, Animalia, Chordata, Mammalia (Taxon entry), Rodentia, Cuniculidae, Cuniculus,18.9 years  (captivity),342 days,365 days,115 days,,1  (viviparous),2,,,,"9,000 g",,96%,,,,,"Kingdom: Animalia
    Phylum: Chordata
        Class: Mammalia (Taxon entry)
            Order: Rodentia
                Family: Cuniculidae
                    Genus: Cuniculus",Mountain paca,ref. 671,Small,Acceptable,One specimen lived at least 18.9 years in captivity [0671].,ITIS 825308,ADW account  (if available),Search EOL,Taxonomy ID 143288,Search all databases,Search Google Scholar or Search PubMed,Google Image search,Search Google,"Agouti taczanowskii,  Cuniculus sierrae",,,,,,,,,,,,,,
429,Charadrius montanus,Mountain plover,10, Animalia, Chordata, Aves (Taxon entry), Charadriiformes, Charadriidae, Charadrius,10 years  (wild),365 days,365 days,,,,,,,,100 g,,,,,,,"Kingdom: Animalia
    Phylum: Chordata
        Class: Aves (Taxon entry)
            Order: Charadriiformes
                Family: Charadriidae
                    Genus: Charadrius",Mountain plover,ref. 445,Medium,Acceptable,"In the wild, these animals can live up to at least 10 years. One study estimated annual survival at 0.68 [0445].",ITIS 176522,ADW account  (if available),Search EOL,Taxonomy ID 50398,Search all databases,Search Google Scholar or Search PubMed,Google Image search,Search Google,Eupoda montana,,,6  (oviparous),,,,,,,,,,,
2509,Burramys parvus,Mountain pygmy possum,12, Animalia, Chordata, Mammalia (Taxon entry), Diprotodontia, Burramyidae, Burramys,12 years,320 days,320 days,15 days,60 days,3.5  (viviparous),1,365 days,,22 g,45 g,,137%,309ºK or 36.1ºC or 97.0ºF,0.2050 W,44.3 g,0.004628 W/g,"Kingdom: Animalia
    Phylum: Chordata
        Class: Mammalia (Taxon entry)
            Order: Diprotodontia
                Family: Burramyidae
                    Genus: Burramys",Mountain pygmy possum,ref. 522,Medium,Acceptable,"Although these animals normally do not live more than 4 years in the wild, it has been reported that females can live up to 11 years [0434]. Other reports suggest a maximum longevity of 12 years [0522], which is plausible.",ITIS 609815,ADW account  (if available),Search EOL,Taxonomy ID 38600,Search all databases,Search Google Scholar or Search PubMed,Google Image search,Search Google,,,,,,,,,,,,,,,
1989,Redunca fulvorufula,Mountain reedbuck,15, Animalia, Chordata, Mammalia (Taxon entry), Artiodactyla, Bovidae, Redunca,15 years  (captivity),388 days,335 days,216 days,,1  (viviparous),1.1,353 days,"3,000 g",,"30,000 g",0.0093 days-1 (from Gompertz function),63%,,,,,"Kingdom: Animalia
    Phylum: Chordata
        Class: Mammalia (Taxon entry)
            Order: Artiodactyla
                Family: Bovidae
                    Genus: Redunca",Mountain reedbuck,ref. 671,Small,Acceptable,In the wild these animals live up to 12 years [0542]. One wild born specimen was about 15 years old when it died in captivity [0671].,ITIS 625186,ADW account,Search EOL,Taxonomy ID 59555,Search all databases,Search Google Scholar or Search PubMed,Google Image search,Search Google,,,,,,,,,,,,,,,
3868,Catostomus platyrhynchus,Mountain sucker,9, Animalia, Chordata, Teleostei, Cypriniformes, Catostomidae, Catostomus,9 years  (wild),"1,277 days","1,003 days",,,,,,,,,,,,,,,"Kingdom: Animalia
    Phylum: Chordata
        Class: Teleostei
            Order: Cypriniformes
                Family: Catostomidae
                    Genus: Catostomus",Mountain sucker,ref. 454,Medium,Acceptable,No observations are presently available,ITIS 163909,ADW account  (if available),Search EOL,Taxonomy ID 244773,Search all databases,Search Google Scholar or Search PubMed,Google Image search,Search Google,,,,,,,,,,,,,,,
2650,Tapirus pinchaque,Mountain tapir,28.5, Animalia, Chordata, Mammalia (Taxon entry), Perissodactyla, Tapiridae, Tapirus,28.5 years  (captivity),"1,114 days",,398 days,,1  (viviparous),,,"4,270 g",,"148,950 g",,94%,,,,,"Kingdom: Animalia
    Phylum: Chordata
        Class: Mammalia (Taxon entry)
            Order: Perissodactyla
                Family: Tapiridae
                    Genus: Tapirus",Mountain tapir,ref. 671,Small,Acceptable,One wild born specimen was about 28-29 years when it died in captivity [0671].,ITIS 624999,ADW account  (if available),Search EOL,Taxonomy ID 30582,Search all databases,Search Google Scholar or Search PubMed,Google Image search,Search Google,"Tapirus ecuadorensis,  Tapirus aenigmaticus,  Tapirus terrestris aenigmaticus,  Tapirus terrestris peruvianus",,,,,,,,,,,,,,
733,Acanthiza katherina,Mountain thornbill,15, Animalia, Chordata, Aves (Taxon entry), Passeriformes, Acanthizidae, Acanthiza,15 years  (wild),,,,,,,,,,6.85 g,,,,,,,"Kingdom: Animalia
    Phylum: Chordata
        Class: Aves (Taxon entry)
            Order: Passeriformes
                Family: Acanthizidae
                    Genus: Acanthiza",Mountain thornbill,ref. 1305,Small,Acceptable,These animals have been found to live up to 15.0 years [1305].,ITIS 558377,ADW account  (if available),Search EOL,,Search all databases,Search Google Scholar or Search PubMed,Google Image search,Search Google,,,,,,,,,,,,,,,
2867,Lagidium viscacia,Mountain viscacha,19.5, Animalia, Chordata, Mammalia (Taxon entry), Rodentia, Chinchillidae, Lagidium,19.5 years  (captivity),,,134 days,,1.5  (viviparous),,,260 g,,"1,540 g",,129%,,,,,"Kingdom: Animalia
    Phylum: Chordata
        Class: Mammalia (Taxon entry)
            Order: Rodentia
                Family: Chinchillidae
                    Genus: Lagidium",Mountain viscacha,ref. 671,Small,Acceptable,No observations are presently available,ITIS 584706,ADW account  (if available),Search EOL,Taxonomy ID 84623,Search all databases,Search Google Scholar or Search PubMed,Google Image search,Search Google,,,,,,,,,,,,,,,
4472,Prosopium williamsoni,Mountain whitefish,17, Animalia, Chordata, Teleostei, Salmoniformes, Salmonidae, Prosopium,17 years  (wild),,,,,,,,,,"1,606 g",,,,,,,"Kingdom: Animalia
    Phylum: Chordata
        Class: Teleostei
            Order: Salmoniformes
                Family: Salmonidae
                    Genus: Prosopium",Mountain whitefish,ref. 1,Medium,Acceptable,No observations are presently available,ITIS 162009,ADW account  (if available),Search EOL,Taxonomy ID 89337,Search all databases,Search Google Scholar or Search PubMed,Google Image search,Search Google,,,,,,,,,,,,,,,
2642,Equus zebra,Mountain zebra,33.2, Animalia, Chordata, Mammalia (Taxon entry), Perissodactyla, Equidae, Equus,33.2 years  (captivity),"1,009 days","1,279 days",362 days,304 days,1  (viviparous),0.6,670 days,"35,000 g",,"296,000 g",,98%,,,,,"Kingdom: Animalia
    Phylum: Chordata
        Class: Mammalia (Taxon entry)
            Order: Perissodactyla
                Family: Equidae
                    Genus: Equus",Mountain zebra,ref. 671,Medium,Acceptable,One captive specimen lived for 33.2 years [0671].,ITIS 202401,ADW account,Search EOL,Taxonomy ID 9791,Search all databases,Search Google Scholar or Search PubMed,Google Image search,Search Google,"Equus zebra zebra,  Equus wardi,  Hippotigris campestris,  Equus indica,  Equus montanus,  Equus zebra frederici",,,,,,,,,,,,,,
612,Zenaida macroura,Mourning dove,31.3, Animalia, Chordata, Aves (Taxon entry), Columbiformes, Columbidae, Zenaida,31.3 years  (wild),90 days,80 days,,,,,,,,119 g,,,Not yet available,0.7360 W,123.0 g,0.005984 W/g,"Kingdom: Animalia
    Phylum: Chordata
        Class: Aves (Taxon entry)
            Order: Columbiformes
                Family: Columbidae
                    Genus: Zenaida",Mourning dove,ref. 427,Large,Acceptable,"Annual adult mortality is about 55% [0444]. In the wild, record longevity from banding studies us 31.3 years [0427]. Like for some other doves, the breeding patterns of these animals depend on latitude with animals along the Gulf Coast being able to breed throughout the year [0445].",ITIS 177125,ADW account,Search EOL,Taxonomy ID 47245,Search all databases,Search Google Scholar or Search PubMed,Google Image search,Search Google,Columba macroura,,14 days,2  (oviparous),5,5 g,,,,,,,,,
3560,Egernia luctuosa,Mourning skink,18.2, Animalia, Chordata, Reptilia (Taxon entry), Squamata, Scincidae, Egernia,18.2 years  (captivity),,,,,,,,,,,,,,,,,"Kingdom: Animalia
    Phylum: Chordata
        Class: Reptilia (Taxon entry)
            Order: Squamata
                Family: Scincidae
                    Genus: Egernia",Mourning skink,ref. 451,Small,Acceptable,No observations are presently available,,ADW account  (if available),Search EOL,,Search all databases,Search Google Scholar or Search PubMed,Google Image search,Search Google,,No information is available on life history. Please contact us if you wish to suggest or contribute data.,,,,,,,,,,,,,
1126,Geothlypis philadelphia,Mourning warbler,7.9, Animalia, Chordata, Aves (Taxon entry), Passeriformes, Parulidae, Geothlypis,7.9 years  (wild),363 days,,,,,,,,,10 g,,,,,,,"Kingdom: Animalia
    Phylum: Chordata
        Class: Aves (Taxon entry)
            Order: Passeriformes
                Family: Parulidae
                    Genus: Geothlypis",Mourning warbler,ref. 578,Medium,Acceptable,No observations are presently available,ITIS 950024,ADW account  (if available),Search EOL,,Search all databases,Search Google Scholar or Search PubMed,Google Image search,Search Google,Oporornis philadelphia,,12 days,4  (oviparous),,,,,,,,,,,
2406,Myotis myotis,Mouse-eared bat,37.1, Animalia, Chordata, Mammalia (Taxon entry), Chiroptera (Taxon entry), Vespertilionidae, Myotis,37.1 years  (wild),502 days,502 days,65 days,,1  (viviparous),1,365 days,5.9 g,,28.55 g,0.109 days-1 (from Gompertz function),455%,308ºK or 35.0ºC or 95.0ºF,Not yet available,,,"Kingdom: Animalia
    Phylum: Chordata
        Class: Mammalia (Taxon entry)
            Order: Chiroptera (Taxon entry)
                Family: Vespertilionidae
                    Genus: Myotis",Mouse-eared bat,ref. 970,Large,Acceptable,"Record longevity from banding studies is 37.1 years [0970]. There are some discrepancies regarding age at sexual maturity with estimates ranging from 3 months to over one year.Studies have shown that there is no relationship between telomere length and age in these animals. Telomerase was not found to be expressed in these animals' blood or fibroblasts. However, genes related with DNA repair and the prevention of DNA damage may contribute to the maintenance of telomere length in animals of this genus [1349]. Telomere length dynamics might be associated with environmental stressors, like climate, instead of age [1359]. These animals have also been shown to express genes with age differently from other mammals, particularly in regards to DNA repair, autophagy, immune response and tumour suppression [1358].",ITIS 632035,ADW account,Search EOL,Taxonomy ID 51298,Search all databases,Search Google Scholar or Search PubMed,Google Image search,Search Google,,,,,,,,,,,,,,,
2849,Calomyscus bailwardi,Mouse-like hamster,9.4, Animalia, Chordata, Mammalia (Taxon entry), Rodentia, Calomyscidae, Calomyscus,9.4 years  (captivity),,,,,3.3  (viviparous),1,,,,20.4 g,,121%,,,,,"Kingdom: Animalia
    Phylum: Chordata
        Class: Mammalia (Taxon entry)
            Order: Rodentia
                Family: Calomyscidae
                    Genus: Calomyscus",Mouse-like hamster,ref. 671,Small,Acceptable,No observations are presently available,ITIS 632750,ADW account,Search EOL,Taxonomy ID 107264,Search all databases,Search Google Scholar or Search PubMed,Google Image search,Search Google,,,,,,,,,,,,,,,
2719,Cercopithecus cephus,Moustached monkey,36, Animalia, Chordata, Mammalia (Taxon entry), Primates (Taxon entry), Cercopithecidae, Cercopithecus,36 years  (captivity),"1,460 days",,172 days,365 days,1  (viviparous),0.4,821 days,340 g,,"3,585 g",,210%,,,,,"Kingdom: Animalia
    Phylum: Chordata
        Class: Mammalia (Taxon entry)
            Order: Primates (Taxon entry)
                Family: Cercopithecidae
                    Genus: Cercopithecus",Moustached monkey,ref. 671,Small,Acceptable,One wild born female lived 31 years in captivity and could have been as old as 36 [0671].,ITIS 572998,ADW account  (if available),Search EOL,Taxonomy ID 9535,Search all databases,Search Google Scholar or Search PubMed,Google Image search,Search Google,,,,,,,,,,,,,,,
758,Acrocephalus melanopogon,Moustached warbler,11.2, Animalia, Chordata, Aves (Taxon entry), Passeriformes, Acrocephalidae, Acrocephalus,11.2 years  (wild),365 days,365 days,,,,,,,,10.9 g,,,,,,,"Kingdom: Animalia
    Phylum: Chordata
        Class: Aves (Taxon entry)
            Order: Passeriformes
                Family: Acrocephalidae
                    Genus: Acrocephalus",Moustached warbler,ref. 450,Medium,Acceptable,No observations are presently available,ITIS 558420,ADW account  (if available),Search EOL,Taxonomy ID 68470,Search all databases,Search Google Scholar or Search PubMed,Google Image search,Search Google,,,,(oviparous),,,,,,,,,,,
4148,Oreochromis mossambicus,Mozambique mouth-breeder,11, Animalia, Chordata, Teleostei, Perciformes, Cichlidae, Oreochromis,11 years  (wild),171 days,293 days,,,,,,,,621.5 g,,,,,,,"Kingdom: Animalia
    Phylum: Chordata
        Class: Teleostei
            Order: Perciformes
                Family: Cichlidae
                    Genus: Oreochromis",Mozambique mouth-breeder,ref. 454,Medium,Acceptable,No observations are presently available,ITIS 170015,ADW account  (if available),Search EOL,Taxonomy ID 8127,Search all databases,Search Google Scholar or Search PubMed,Google Image search,Search Google,"Sarotherodon mossambicus,  Tilapia mossambica",,,,,,,,,,,,,,
3449,Naja mossambica,Mozambique spitting cobra,16.7, Animalia, Chordata, Reptilia (Taxon entry), Squamata, Elapidae, Naja,16.7 years  (captivity),,,,,,,,,,"8,787 g",,,,,,,"Kingdom: Animalia
    Phylum: Chordata
        Class: Reptilia (Taxon entry)
            Order: Squamata
                Family: Elapidae
                    Genus: Naja",Mozambique spitting cobra,ref. 451,Small,Acceptable,No observations are presently available,ITIS 700631,ADW account  (if available),Search EOL,Taxonomy ID 8644,Search all databases,Search Google Scholar or Search PubMed,Google Image search,Search Google,,,,,,,,,,,,,,,
3196,Spalax carmeli,Mt carmel blind mole rat,Not yet established, Animalia, Chordata, Mammalia (Taxon entry), Rodentia, Spalacidae, Spalax,Not yet established,,,,,,,,,,,,,,,,,"Kingdom: Animalia
    Phylum: Chordata
        Class: Mammalia (Taxon entry)
            Order: Rodentia
                Family: Spalacidae
                    Genus: Spalax",Mt carmel blind mole rat,,,,These underground rats have been shown to have an enhanced resistance to genotoxic lesions and a greater DNA repair capacity [1413].,ITIS 970559,ADW account  (if available),Search EOL,,Search all databases,Search Google Scholar or Search PubMed,Google Image search,Search Google,,No information is available on life history. Please contact us if you wish to suggest or contribute data.,,,,,,,,,,,,,
4264,Etheostoma asprigene,Mud darter,3, Animalia, Chordata, Teleostei, Perciformes, Percidae, Etheostoma,3 years  (wild),,,,,,,,,,,,,,,,,"Kingdom: Animalia
    Phylum: Chordata
        Class: Teleostei
            Order: Perciformes
                Family: Percidae
                    Genus: Etheostoma",Mud darter,ref. 454,Medium,Acceptable,No observations are presently available,ITIS 168372,ADW account  (if available),Search EOL,Taxonomy ID 255460,Search all databases,Search Google Scholar or Search PubMed,Google Image search,Search Google,Poecilichthys asprigenis,No information is available on life history. Please contact us if you wish to suggest or contribute data.,,,,,,,,,,,,,
4037,Urophycis tenuis,Mud hake,23, Animalia, Chordata, Teleostei, Gadiformes, Gadidae, Urophycis,23 years  (wild),510 days,510 days,,,,,,,,"11,550 g",,,,,,,"Kingdom: Animalia
    Phylum: Chordata
        Class: Teleostei
            Order: Gadiformes
                Family: Gadidae
                    Genus: Urophycis",Mud hake,ref. 454,Medium,Acceptable,No observations are presently available,ITIS 164732,ADW account  (if available),Search EOL,Taxonomy ID 183657,Search all databases,Search Google Scholar or Search PubMed,Google Image search,Search Google,,,,,,,,,,,,,,,
178,Pseudotriton montanus,Mud salamander,15.1, Animalia, Chordata, Amphibia (Taxon entry), Caudata, Plethodontidae, Pseudotriton,15.1 years  (captivity),"1,643 days","1,095 days",,,,,,,,,,,,,,,"Kingdom: Animalia
    Phylum: Chordata
        Class: Amphibia (Taxon entry)
            Order: Caudata
                Family: Plethodontidae
                    Genus: Pseudotriton",Mud salamander,ref. 485,Small,Acceptable,No observations are presently available,ITIS 173682,ADW account,Search EOL,Taxonomy ID 324349,Search all databases,Search Google Scholar or Search PubMed,Google Image search,Search Google,"Pseudotriton montanus montanus,  Pseudotriton montanus flavissimus,  Pseudotriton montanus floridanus,  Pseudotriton flavissimus,  Spelerpes montana,  Pseudotriton montanum,  Spelerpes flavissimus,  Spelerpes montanus,  Eurycea montana,  Spelerpes ruber montanus,  Geotriton rubra montanus,  Spelerpes ruber sticticeps,  Spelerpes ruber flavissimus,  Eurycea montana flavissima,  Pseudotriton flavissimus flavissimus,  Pseudotriton flavissimus floridanus,  Gyrinophilus montanus montanus,  Gyrinophilus montanus flavissimus,  Gyrinophilus montanus floridanus",,,(oviparous),,,,,730 days,,,,,,
3354,Farancia abacura,"Mud snake, or Western mud snake",19, Animalia, Chordata, Reptilia (Taxon entry), Squamata, Colubridae, Farancia,19 years,,,,,,,,,,"3,454 g",,,,,,,"Kingdom: Animalia
    Phylum: Chordata
        Class: Reptilia (Taxon entry)
            Order: Squamata
                Family: Colubridae
                    Genus: Farancia","Mud snake, or Western mud snake",ref. 528,Medium,Acceptable,No observations are presently available,ITIS 174164,ADW account  (if available),Search EOL,Taxonomy ID 39306,Search all databases,Search Google Scholar or Search PubMed,Google Image search,Search Google,Coluber abacurus,,,,,,,,,,,,,,
4116,Acantharchus pomotis,Mud sunfish,8, Animalia, Chordata, Teleostei, Perciformes, Centrarchidae, Acantharchus,8 years,,,,,,,,,,,,,,,,,"Kingdom: Animalia
    Phylum: Chordata
        Class: Teleostei
            Order: Perciformes
                Family: Centrarchidae
                    Genus: Acantharchus",Mud sunfish,ref. 440,Small,Questionable,Longevity has only been evaluated in a small number of animals and so may be underestimated [0440].,ITIS 168095,ADW account  (if available),Search EOL,Taxonomy ID 201699,Search all databases,Search Google Scholar or Search PubMed,Google Image search,Search Google,"Centrarchus pomotis,  Acantharchus pomotis mizelli",No information is available on life history. Please contact us if you wish to suggest or contribute data.,,,,,,,,,,,,,
