HAGRID,Species,Name,Longevity,Kingdom,Phylum,Class,Order,Family,Genus,Female sexual maturity,Male sexual maturity,Gestation,Weaning,Litter size,Litters per year,Inter-litter interval,Weight at birth,Weight at weaning,Adult weight,Postnatal growth rate,Typical body temperature,Basal metabolic rate,Body mass,Metabolic rate per body mass,Incubation,Clutch size,Clutches per year,Weight at hatching,IMR,MRDT,Metamorphosis,Resting metabolic rate,Interbirth interval,Clutch or litter size,Breedings per year
1791,Heterodontus francisci,Horn shark,12, Animalia, Chordata, Chondrichthyes (Taxon entry), Heterodontiformes, Heterodontidae, Heterodontus,,,,,,,,,,,,,,,,,,,,,,,,,,
1575,Eunymphicus cornutus,Horned parakeet,19.7, Animalia, Chordata, Aves (Taxon entry), Psittaciformes (Taxon entry), Psittacidae, Eunymphicus,,,,,,,,,,130.0,,,,,,,,,,,,,,,,
3940,Nocomis biguttatus,Hornyhead chub,4, Animalia, Chordata, Teleostei, Cypriniformes, Leuciscidae, Nocomis,,,,,,,,,,,,,,,,,,,,,,,,,,
2637,Equus caballus,Horse,57, Animalia, Chordata, Mammalia (Taxon entry), Perissodactyla, Equidae, Equus,914.0,973.0,337.0,,1.0,1.0,548.0,38000.0,,300000.0,,311,,,,,,,,0.0002,4.0,,,,,
4364,Thunnus thynnus,Horse mackerel,15, Animalia, Chordata, Teleostei, Perciformes, Scombridae, Thunnus,1368.0,1368.0,,,,,,,,376200.0,,,,,,,,,,,,,,,,
3174,Sundasciurus hippurus,Horse-tailed squirrel,14, Animalia, Chordata, Mammalia (Taxon entry), Rodentia, Sciuridae, Sundasciurus,,,,,,,,,,312.5,,,,,,,,,,,,,,,,
3559,Egernia hosmeri,Hosmer's skink,24.5, Animalia, Chordata, Reptilia (Taxon entry), Squamata, Scincidae, Egernia,,,,,,,,,,,,,,,,,,,,,,,,,,
915,Serinus canaria,House canary,24, Animalia, Chordata, Aves (Taxon entry), Passeriformes, Fringillidae, Serinus,,,,,,,,,,24.3,,314,0.2301,13.3,0.017298,,,,,,,,,,,
3063,Mus musculus,House mouse,4, Animalia, Chordata, Mammalia (Taxon entry), Rodentia, Muridae, Mus,42.0,42.0,19.0,,7.0,5.4,30.0,1.25,,20.5,0.02981,310,0.271,18.0,0.015056,,,,,0.01,0.3,,,,,
1199,Passer domesticus,House sparrow,23, Animalia, Chordata, Aves (Taxon entry), Passeriformes, Passeridae, Passer,152.0,365.0,,,,,,,,25.3,0.4141,,,,,11.0,5.0,4.0,2.02,,,,,,,
1288,Troglodytes aedon,House wren,9, Animalia, Chordata, Aves (Taxon entry), Passeriformes, Troglodytidae, Troglodytes,365.0,365.0,,,,,,,,9.7,0.4641,,,,,13.0,7.0,2.0,1.07,,,,,,,
2789,Homo sapiens,Human,122.5, Animalia, Chordata, Mammalia (Taxon entry), Primates (Taxon entry), Hominidae, Homo,4745.0,5110.0,280.0,,1.0,0.3,639.0,3313.0,,62035.0,0.00051,310,82.78,70000.0,0.001183,,,,,0.0002,8.0,,,,,
2680,Lagothrix lagothricha,Humboldt's woolly monkey,32, Animalia, Chordata, Mammalia (Taxon entry), Primates (Taxon entry), Atelidae, Lagothrix,2555.0,1520.0,223.0,352.0,1.0,0.5,639.0,300.0,,7650.0,,,,,,,,,,,,,,,,
4225,Lutjanus gibbus,Humpback red snapper,18, Animalia, Chordata, Teleostei, Perciformes, Lutjanidae, Lutjanus,,,,,,,,,,,,,,,,,,,,,,,,,,
2283,Megaptera novaeangliae,Humpback whale,95, Animalia, Chordata, Mammalia (Taxon entry), Cetacea (Taxon entry), Balaenopteridae, Megaptera,1643.0,1643.0,342.0,,1.0,0.5,657.0,1350000.0,,30000000.0,,309,,,,,,,,,,,,,,
4454,Coregonus pidschian,Humpback whitefish,14, Animalia, Chordata, Teleostei, Salmoniformes, Salmonidae, Coregonus,4015.0,5110.0,,,,,,,,,,,,,,,,,,,,,,,,
4217,Lutjanus adetii,Hussar,40, Animalia, Chordata, Teleostei, Perciformes, Lutjanidae, Lutjanus,,,,,,,,,,,,,,,,,,,,,,,,,,
1340,Vireo huttoni,Hutton's vireo,13.5, Animalia, Chordata, Aves (Taxon entry), Passeriformes, Vireonidae, Vireo,363.0,,,,,,,,,11.3,,,,,,14.0,4.0,,,,,,,,,
1513,Anodorhynchus hyacinthinus,Hyacinth macaw,38.8, Animalia, Chordata, Aves (Taxon entry), Psittaciformes (Taxon entry), Psittacidae, Anodorhynchus,,,,,,,,,,1330.0,,,,,,,,,,,,,,,,
4602,Hydra,Hydra,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Rana iberica,Iberian frog,8, Animalia, Chordata, Amphibia (Taxon entry), Anura, Ranidae, Rana,,,,,,,,,,,,,,,,,318.0,,,,,90.0,,,,
196,Pleurodeles waltl,Iberian ribbed newt,19.5, Animalia, Chordata, Amphibia (Taxon entry), Caudata, Salamandridae, Pleurodeles,,,,,,,,,,,,,,,,13.0,725.0,,,,,,,,,
1921,Capra ibex,Ibex,21, Animalia, Chordata, Mammalia (Taxon entry), Artiodactyla, Bovidae, Capra,797.0,1256.0,169.0,274.0,1.1,0.8,489.0,2850.0,,82500.0,0.0051,,,,,,,,,,,,,,,
474,Larus glaucoides,Iceland gull,33, Animalia, Chordata, Aves (Taxon entry), Charadriiformes, Laridae, Larus,1460.0,1460.0,,,,,,,,945.5,,,,,,25.0,2.39,1.0,,,,,,,,
4627,Chlamys islandica,Iceland scallop,35, Animalia, Mollusca, Bivalvia (Taxon entry), Ostreoida, Pectinidae, Chlamys,,,,,,,,,,,,,,,,,,,,,,,,,,
3930,Leuciscus idus,Ide,29.8, Animalia, Chordata, Teleostei, Cypriniformes, Leuciscidae, Leuciscus,2007.0,1825.0,,,,,,,,2200.0,,,,,,,,,,,,,,,,
