HAGRID,Species,Name,Longevity,Kingdom,Phylum,Class,Order,Family,Genus,Female sexual maturity,Male sexual maturity,Gestation,Weaning,Litter size,Litters per year,Inter-litter interval,Weight at birth,Weight at weaning,Adult weight,Postnatal growth rate,Typical body temperature,Basal metabolic rate,Body mass,Metabolic rate per body mass,Incubation,Clutch size,Clutches per year,Weight at hatching,IMR,MRDT,Metamorphosis,Resting metabolic rate,Interbirth interval,Clutch or litter size,Breedings per year
3242,Orycteropus afer,Aardvark,29.8, Animalia, Chordata, Mammalia (Taxon entry), Tubulidentata, Orycteropodidae, Orycteropus,730.0,730.0,225.0,103.0,1.0,1.0,365.0,1800.0,6250.0,60000.0,0.00941,308,34.275,48000.0,0.000714,,,,,,,,,,,
2161,Proteles cristata,Aardwolf,20, Animalia, Chordata, Mammalia (Taxon entry), Carnivora, Hyaenidae, Proteles,631.0,,84.0,132.0,2.5,,,275.0,,10000.0,,310,11.563,7902.6,0.001463,,,,,,,,,,,
3296,Chilabothrus exsul,Abaco Island boa,21.7, Animalia, Chordata, Reptilia (Taxon entry), Squamata, Boidae, Chilabothrus,,,,,,,,,,,,,,,,,,,,,,,,,,
570,Ciconia abdimii,Abdim's stork,21.6, Animalia, Chordata, Aves (Taxon entry), Ciconiiformes, Ciconiidae, Ciconia,,,,,,,,,,1398.0,,,,,,,,,,,,,,,,
1896,Addax nasomaculatus,Addax,28, Animalia, Chordata, Mammalia (Taxon entry), Artiodactyla, Bovidae, Addax,1065.0,,282.0,198.0,1.0,1.0,355.0,5600.0,,92500.0,,,,,,,,,,,,,,,,
1143,Setophaga adelaidae,Adelaide's warbler,10.6, Animalia, Chordata, Aves (Taxon entry), Passeriformes, Parulidae, Setophaga,,,,,,,,,,7.0,,,,,,,,,,,,,,,,
4443,Pegusa impar,Adriatic sole,12, Animalia, Chordata, Teleostei, Pleuronectiformes, Soleidae, Pegusa,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Paradactylodon mustersi,Afghanistan salamander,11, Animalia, Chordata, Amphibia (Taxon entry), Caudata, Hynobiidae, Paradactylodon,,,,,,,,,,,,,,,,,,,,,,,,,,
3989,Nothobranchius,African annual fishes,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4666,Adansonia digitata,African baobab,2500, Plantae (Taxon entry), Tracheophyta, Magnoliopsida, Malvales, Malvaceae, Adansonia,,,,,,,,,,,,,,,,,,,,,,,,,,
3005,Atherurus africanus,African brush-tailed porcupine,22.9, Animalia, Chordata, Mammalia (Taxon entry), Rodentia, Hystricidae, Atherurus,,,106.0,,1.5,2.5,,150.0,,2750.0,,,,,,,,,,,,,,,,
1995,Syncerus caffer,African buffalo,32.8, Animalia, Chordata, Mammalia (Taxon entry), Artiodactyla, Bovidae, Syncerus,1475.0,1674.0,331.0,289.0,1.0,0.4,635.0,44000.0,166000.0,700000.0,0.00261,,,,,,,,,,,,,,,
108,Pyxicephalus adspersus,African bullfrog,45, Animalia, Chordata, Amphibia (Taxon entry), Anura, Pyxicephalidae, Pyxicephalus,,,,,,,,,,,,,,,,,,,,,,,,,,
2839,Loxodonta africana,African bush elephant,65, Animalia, Chordata, Mammalia (Taxon entry), Proboscidea, Elephantidae, Loxodonta,4018.0,3650.0,670.0,1071.0,1.0,0.2,1707.0,105000.0,600000.0,4800000.0,0.00031,309,,,,,,,,0.002,8.0,,,,,
4561,Bagrus bajad,African catfish,17, Animalia, Chordata, Teleostei, Siluriformes, Bagridae, Bagrus,1642.0,1642.0,,,,,,,,6875.0,,,,,,,,,,,,,,,,
2258,Civettictis civetta,African civet,28, Animalia, Chordata, Mammalia (Taxon entry), Carnivora, Viverridae, Civettictis,365.0,213.0,65.0,120.0,2.5,2.2,221.0,380.5,1514.0,13667.0,,,,,,,,,,,,,,,,
107,Xenopus laevis,African clawed frog,30.3, Animalia, Chordata, Amphibia (Taxon entry), Anura, Pipidae, Xenopus,183.0,,,,,,,,,130.0,,288,,63.6,0.000189,2.0,,,,,,,0.012,,,
2167,Aonyx capensis,African clawless otter,14.2, Animalia, Chordata, Mammalia (Taxon entry), Carnivora, Mustelidae, Aonyx,365.0,365.0,63.0,53.0,2.5,,,1050.0,3360.0,23500.0,,,,,,,,,,,,,,,,
3469,Hemitheconyx caudicinctus,African fat-tailed gecko,16.2, Animalia, Chordata, Reptilia (Taxon entry), Squamata, Eublepharidae, Hemitheconyx,,,,,,,,,,39.17,,,,,,,,,,,,,,,,
2136,Profelis aurata,African golden cat,21, Animalia, Chordata, Mammalia (Taxon entry), Carnivora, Felidae, Profelis,651.0,,81.0,,2.0,,,248.33,,10650.0,,,,,,,,,,,,,,,,
3367,Lamprophis fuliginosus,African house snake,9, Animalia, Chordata, Reptilia (Taxon entry), Squamata, Colubridae, Lamprophis,182.0,182.0,,,,,,,,,,,,,,,,,,,,,,,,
4093,Xenomystus nigri,African knifefish,11.4, Animalia, Chordata, Teleostei, Osteoglossiformes, Notopteridae, Xenomystus,,,,,,,,,,,,,,,,,,,,,,,,,,
3797,Anguilla mossambica,African longfin eel,20, Animalia, Chordata, Teleostei, Anguilliformes, Anguillidae, Anguilla,,,,,,,,,,412.5,,,,,,,,,,,,,,,,
1882,Protopterus annectens,African lungfish,18, Animalia, Chordata, Dipnoi, Lepidosireniformes, Protopteridae, Protopterus,,,,,,,,,,,,,,,,,,,,,,,,,,
2844,Cryptomys hottentotus,African mole rat,11, Animalia, Chordata, Mammalia (Taxon entry), Rodentia, Bathyergidae, Cryptomys,450.0,,81.0,46.0,2.86,1.5,132.0,8.63,26.1,132.5,,308,0.35,78.9,0.004436,,,,,,,,,,,
2206,Nandinia binotata,African palm civet,21, Animalia, Chordata, Mammalia (Taxon entry), Carnivora, Nandiniidae, Nandinia,1095.0,1095.0,64.0,64.0,2.0,2.0,182.0,55.0,,1900.0,,311,5.565,4270.0,0.001303,,,,,,,,,,,
3009,Hystrix cristata,African porcupine,28, Animalia, Chordata, Mammalia (Taxon entry), Rodentia, Hystricidae, Hystrix,,,66.0,,2.3,2.0,,1000.0,,20000.0,,,,,,,,,,,,,,,,
3550,Python sebae,African rock python,27.3, Animalia, Chordata, Reptilia (Taxon entry), Squamata, Pythonidae, Python,1461.0,1461.0,,,,,,,,73000.0,,,,,,72.0,,,,,,,,,,
3261,Mecistops cataphractus,African slender-snouted crocodile,56.1, Animalia, Chordata, Reptilia (Taxon entry), Crocodilia, Crocodylidae, Mecistops,4566.0,4566.0,,,,,,,,50500.0,,,,,,75.0,,,,,,,,,,
3791,Trionyx triunguis,African softshell turtle,50.6, Animalia, Chordata, Reptilia (Taxon entry), Testudines (Taxon entry), Trionychidae, Trionyx,,,,,,,,,,10818.0,,,,,,,,,,,,,,,,
1385,Platalea alba,African spoonbill,17.9, Animalia, Chordata, Aves (Taxon entry), Pelecaniformes, Threskiornithidae, Platalea,,,,,,,,,,1521.0,,,,,,,,,,,,,,,,
3766,Centrochelys sulcata,African spurred tortoise,54.3, Animalia, Chordata, Reptilia (Taxon entry), Testudines (Taxon entry), Testudinidae, Centrochelys,,,,,,,,,,43000.0,,,,,,,,,,,,,,,,
68,Hoplobatrachus occipitalis,African tigrine frog,10.9, Animalia, Chordata, Amphibia (Taxon entry), Anura, Dicroglossidae, Hoplobatrachus,,,,,,,,,,48.1,,,,,,,,,,,,,,,,
2449,Antechinus agilis,Agile antechinus,4.7, Animalia, Chordata, Mammalia (Taxon entry), Dasyuromorphia, Dasyuridae, Antechinus,330.0,285.0,27.0,90.0,10.0,,365.0,,10.0,18.0,,,,,,,,,,,,,,,,
2794,Hylobates agilis,Agile gibbon,49, Animalia, Chordata, Mammalia (Taxon entry), Primates (Taxon entry), Hylobatidae, Hylobates,2849.0,1825.0,216.0,724.0,1.0,0.3,1138.0,,,5925.0,,,,,,,,,,,,,,,,
2495,Gracilinanus agilis,"Agile gracile opossum, or Paraguayan slender mouse opossum",6.1, Animalia, Chordata, Mammalia (Taxon entry), Didelphimorphia, Didelphidae, Gracilinanus,270.0,,20.0,,12.0,,,,,22.0,,,,,,,,,,,,,,,,
2714,Cercocebus agilis,Agile mangabey,31, Animalia, Chordata, Mammalia (Taxon entry), Primates (Taxon entry), Cercopithecidae, Cercocebus,1536.0,,170.0,,,,,,,8000.0,,,,,,,,,,,,,,,,
2525,Macropus agilis,Agile wallaby,16.9, Animalia, Chordata, Mammalia (Taxon entry), Diprotodontia, Macropodidae, Macropus,365.0,425.0,29.0,214.0,1.0,1.8,220.0,0.634,2287.0,16000.0,,,,,,,,,,,,,,,,
4060,Kneria auriculata,Airbreathing shellear,3, Animalia, Chordata, Teleostei, Gonorynchiformes, Kneriidae, Kneria,,,,,,,,,,,,,,,,,,,,,,,,,,
908,Loxops coccineus,Akepa,10, Animalia, Chordata, Aves (Taxon entry), Passeriformes, Fringillidae, Loxops,365.0,730.0,,,,,,,,10.4,,,,,,15.0,1.5,1.0,,,,,,,,
897,Hemignathus wilsoni,Akiapolaau,13, Animalia, Chordata, Aves (Taxon entry), Passeriformes, Fringillidae, Hemignathus,365.0,365.0,,,,,,,,28.0,,,,,,,1.0,1.0,,,,,,,,
911,Palmeria dolei,"Akohekohe, or Crested honeycreeper",9.2, Animalia, Chordata, Aves (Taxon entry), Passeriformes, Fringillidae, Palmeria,730.0,730.0,,,,,,,,26.2,,,,,,17.0,1.5,2.5,2.13,,,,,,,
3705,Graptemys pulchra,Alabama map turtle,15.7, Animalia, Chordata, Reptilia (Taxon entry), Testudines (Taxon entry), Emydidae, Graptemys,5113.0,2922.0,,,,,,,,1519.0,,,,,,,,,,,,,,,,
3826,Alosa alabamae,Alabama shad,4, Animalia, Chordata, Teleostei, Clupeiformes, Clupeidae, Alosa,,,,,,,,,,,,,,,,,,,,,,,,,,
4014,Dallia pectoralis,Alaska blackfish,8, Animalia, Chordata, Teleostei, Esociformes, Umbridae, Dallia,912.0,912.0,,,,,,,,201.3,,,,,,,,,,,,,,,,
4022,Gadus chalcogrammus,Alaska pollock,15, Animalia, Chordata, Teleostei, Gadiformes, Gadidae, Gadus,1277.0,1095.0,,,,,,,,770.0,,,,,,,,,,,,,,,,
1820,Bathyraja parmifera,Alaska skate,17, Animalia, Chordata, Chondrichthyes (Taxon entry), Rajiformes, Arhynchobatidae, Bathyraja,3650.0,2920.0,,,,,,,,10010.0,,,,,,,,,,,,,,365.0,,
4051,Gasterosteus aculeatus,Alaskan stickleback,8, Animalia, Chordata, Teleostei, Gasterosteiformes, Gasterosteidae, Gasterosteus,,,,,,,,,,,,,,,,,,,,,,,,,,
4360,Thunnus alalunga,Albacore,13, Animalia, Chordata, Teleostei, Perciformes, Scombridae, Thunnus,1825.0,1825.0,,,,,,,,33165.0,,,,,,,2000000.0,1.0,,,,,,365.0,,
3764,Aldabrachelys gigantea,Aldabra tortoise,152, Animalia, Chordata, Reptilia (Taxon entry), Testudines (Taxon entry), Testudinidae, Aldabrachelys,9131.0,9131.0,,,,,,,,117200.0,,,,,,7397.0,,,,,,,,,,
1316,Empidonax alnorum,Alder flycatcher,9.1, Animalia, Chordata, Aves (Taxon entry), Passeriformes, Tyrannidae, Empidonax,365.0,365.0,,,,,,,,13.5,,,,,,13.0,3.5,1.0,,,,,,,,
3833,Alosa pseudoharengus,Alewife,8, Animalia, Chordata, Teleostei, Clupeiformes, Clupeidae, Alosa,1642.0,1277.0,,,,,,,,110.0,,,,,,,,,,,,,,,,
1623,Polytelis alexandrae,Alexandra's parrot,23.9, Animalia, Chordata, Aves (Taxon entry), Psittaciformes (Taxon entry), Psittacidae, Polytelis,,,,,,,,,,104.0,,,,,,,,,,,,,,,,
1640,Psittacula eupatria,Alexandrine parakeet,30, Animalia, Chordata, Aves (Taxon entry), Psittaciformes (Taxon entry), Psittacidae, Psittacula,1090.0,,,,,,,,,255.0,,,,,,,,,,,,,,,,
3813,Beryx splendens,Alfonsino,23, Animalia, Chordata, Teleostei, Beryciformes, Berycidae, Beryx,2153.0,2737.0,,,,,,,,,,,,,,,,,,,,,,,,
195,Pleurodeles poireti,Algerian newt,14, Animalia, Chordata, Amphibia (Taxon entry), Caudata, Salamandridae, Pleurodeles,,,,,,,,,,,,,,,,,,,,,,,,,,
3563,Eumeces algeriensis,Algerian skink,22.8, Animalia, Chordata, Reptilia (Taxon entry), Squamata, Scincidae, Eumeces,,,,,,,,,,85.4,,,,,,,,,,,,,,,,
3827,Alosa alosa,Alice shad,10, Animalia, Chordata, Teleostei, Clupeiformes, Clupeidae, Alosa,1642.0,1277.0,,,,,,,,2200.0,,,,,,,,,,,,,,,,
159,Desmognathus ochrophaeus,Allegheny mountain dusky salamander,19.8, Animalia, Chordata, Amphibia (Taxon entry), Caudata, Plethodontidae, Desmognathus,1280.0,1280.0,,,,,,,,0.6,,,,,,,16.0,,,0.3,,,,,,
2238,Bassaricyon alleni,Allen's olingo,25.2, Animalia, Chordata, Mammalia (Taxon entry), Carnivora, Procyonidae, Bassaricyon,650.0,594.0,75.0,,,,,,,1235.0,,,,,,,,,,,,,,,,
2710,Allenopithecus nigroviridis,Allen's swamp monkey,27, Animalia, Chordata, Mammalia (Taxon entry), Primates (Taxon entry), Cercopithecidae, Allenopithecus,,,,108.0,1.0,,,221.0,,4703.0,,,,,,,,,,,,,,,,
3688,Macrochelys temminckii,Alligator snapping turtle,70.3, Animalia, Chordata, Reptilia (Taxon entry), Testudines (Taxon entry), Chelydridae, Macrochelys,4015.0,4015.0,,,,,,,,58500.0,,,,,,120.0,30.0,,,,,,,,,
2009,Vicugna pacos,Alpaca,25.8, Animalia, Chordata, Mammalia (Taxon entry), Artiodactyla, Camelidae, Vicugna,432.0,500.0,345.0,213.0,1.04,,,7210.0,,62000.0,,312,,,,,,,,,,,,,,
1235,Prunella collaris,Alpine accentor,7.7, Animalia, Chordata, Aves (Taxon entry), Passeriformes, Prunellidae, Prunella,,,,,,,,,,39.775,,,,,,,,,,,,,,,,
4490,Cottus poecilopus,Alpine bullhead,8, Animalia, Chordata, Teleostei, Scorpaeniformes, Cottidae, Cottus,,,,,,,,,,,,,,,,,,,,,,,,,,
842,Pyrrhocorax graculus,Alpine chough,24.4, Animalia, Chordata, Aves (Taxon entry), Passeriformes, Corvidae, Pyrrhocorax,1095.0,1095.0,,,,,,,,211.5,,,,,,,,,,,,,,,,
3141,Marmota marmota,Alpine marmot,17.4, Animalia, Chordata, Mammalia (Taxon entry), Rodentia, Sciuridae, Marmota,730.0,730.0,35.0,47.0,4.0,1.0,914.0,30.0,,3500.0,,,,,,,,,,,,,,,,
369,Apus melba,Alpine swift,26, Animalia, Chordata, Aves (Taxon entry), Apodiformes, Apodidae, Apus,730.0,730.0,,,,,,,,102.7,,,,,,,,,,,,,,,,
3968,Oreoleuciscus potanini,Altai osman,40, Animalia, Chordata, Teleostei, Cypriniformes, Leuciscidae, Oreoleuciscus,3102.0,3102.0,,,,,,,,5500.0,,,,,,,,,,,,,,,,
2311,Inia geoffrensis,"Amazon river dolphin, or Amazon dolphin",31.3, Animalia, Chordata, Mammalia (Taxon entry), Cetacea (Taxon entry), Iniidae, Inia,1826.0,1826.0,287.0,,1.0,,,6800.0,,84000.0,,,,,,,,,,,,,,,,
59,Ceratophrys cornuta,Amazonian horned frog,10.3, Animalia, Chordata, Amphibia (Taxon entry), Anura, Ceratophryidae, Ceratophrys,,,,,,,,,,,,,,,,,,,,,,,,,,
3303,Corallus hortulanus,Amazonian tree boa,15, Animalia, Chordata, Reptilia (Taxon entry), Squamata, Boidae, Corallus,,,,,,,,,,1906.0,,,,,,,,,,,,,,,,
3244,Alligator mississippiensis,American alligator,77, Animalia, Chordata, Reptilia (Taxon entry), Crocodilia, Alligatoridae, Alligator,4380.0,4380.0,,,,,,,,150000.0,,295,,1079.0,0.000143,,,,,,,,0.1539,,,
2204,Taxidea taxus,American badger,25, Animalia, Chordata, Mammalia (Taxon entry), Carnivora, Mustelidae, Taxidea,183.0,441.0,41.0,56.0,3.0,0.7,365.0,93.5,3000.0,8000.0,,311,15.062,9000.0,0.001674,,,,,,,,,,,
2855,Castor canadensis,American beaver,23.4, Animalia, Chordata, Mammalia (Taxon entry), Rodentia, Castoridae, Castor,639.0,639.0,128.0,,3.5,1.0,365.0,430.0,,20250.0,,,,,,,,,,,,,,,,
1904,Bison bison,American bison,33.5, Animalia, Chordata, Mammalia (Taxon entry), Artiodactyla, Bovidae, Bison,912.0,912.0,274.0,259.0,1.0,1.0,452.0,20000.0,158000.0,630000.0,,312,,,,,,,,,,,,,,
2251,Ursus americanus,American black bear,34, Animalia, Chordata, Mammalia (Taxon entry), Carnivora, Ursidae, Ursus,1278.0,1278.0,70.0,198.0,2.0,0.4,730.0,277.5,14050.0,154250.0,0.00291,,,,,,,,,,,,,,,
1740,Lethenteron appendix,American brook lamprey,5, Animalia, Chordata, Cephalaspidomorphi (Taxon entry), Petromyzontiformes, Petromyzontidae, Lethenteron,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Lithobates catesbeianus,American bullfrog,16, Animalia, Chordata, Amphibia (Taxon entry), Anura, Ranidae, Lithobates,1277.0,730.0,,,,,,,,54.4,,288,,51.2,0.000262,4.0,,,,,,,0.0134,,,
716,Fulica americana,American coot,22.3, Animalia, Chordata, Aves (Taxon entry), Gruiformes, Rallidae, Fulica,365.0,365.0,,,,,,,,450.8,0.061,,,,,23.0,10.0,2.0,20.5,,,,,,,
3251,Crocodylus acutus,American crocodile,47, Animalia, Chordata, Reptilia (Taxon entry), Crocodilia, Crocodylidae, Crocodylus,3652.0,,,,,,,,,76700.0,,,,,,,,,,,,,,,,
817,Corvus brachyrhynchos,American crow,20, Animalia, Chordata, Aves (Taxon entry), Passeriformes, Corvidae, Corvus,730.0,730.0,,,,,,,,384.8,0.1721,,,,,18.0,5.0,1.0,15.6,,,,,,,
804,Cinclus mexicanus,American dipper,8.1, Animalia, Chordata, Aves (Taxon entry), Passeriformes, Cinclidae, Cinclus,365.0,365.0,,,,,,,,50.2,,,,,,,4.0,1.5,,,,,,,,
3800,Anguilla rostrata,American eel,50, Animalia, Chordata, Teleostei, Anguilliformes, Anguillidae, Anguilla,1642.0,1642.0,,,,,,,,4032.0,,,,,,,,,,,,,,,,
3839,Dorosoma cepedianum,American gizzard shad,6, Animalia, Chordata, Teleostei, Clupeiformes, Clupeidae, Dorosoma,730.0,730.0,,,,,,,,1089.0,,,,,,,,,,,,,,,,
436,Pluvialis dominica,American golden plover,13, Animalia, Chordata, Aves (Taxon entry), Charadriiformes, Charadriidae, Pluvialis,365.0,365.0,,,,,,,,118.0,,,,,,26.0,4.0,,19.5,,,,,,,
2163,Conepatus leuconotus,"American hog-nosed skunk, or Hog-nosed skunk",10.2, Animalia, Chordata, Mammalia (Taxon entry), Carnivora, Mephitidae, Conepatus,319.0,319.0,56.0,,3.4,1.5,182.0,,,1900.0,,,,,,,,,,,,,,,,
655,Falco sparverius,American kestrel,17, Animalia, Chordata, Aves (Taxon entry), Falconiformes, Falconidae, Falco,365.0,365.0,,,,,,,,117.0,0.2851,,,,,29.0,4.6,1.5,9.0,,,,,,,
25,Homarus americanus,American lobster,100, Animalia, Arthropoda (Taxon entry), Malacostraca, Decapoda, Nephropidae, Homarus,,,,,,,,,,,,,,,,,,,,,,,,,,
2182,Martes americana,American marten,17.8, Animalia, Chordata, Mammalia (Taxon entry), Carnivora, Mustelidae, Martes,365.0,365.0,28.0,46.0,3.0,1.0,365.0,30.0,392.0,884.0,,311,3.579,966.5,0.003703,,,,,,,,,,,
2201,Neovison vison,American mink,11.4, Animalia, Chordata, Mammalia (Taxon entry), Carnivora, Mustelidae, Neovison,334.0,371.0,42.0,49.0,4.5,1.0,365.0,8.5,110.0,925.0,0.02661,312,2.722,660.0,0.004124,,,,,,,,,,,
449,Haematopus palliatus,American oystercatcher,17, Animalia, Chordata, Aves (Taxon entry), Charadriiformes, Haematopodidae, Haematopus,1095.0,1095.0,,,,,,,,565.0,,,,,,27.0,2.0,1.0,37.3,,,,,,,
2610,Ochotona princeps,American pika,7, Animalia, Chordata, Mammalia (Taxon entry), Lagomorpha, Ochotonidae, Ochotona,347.0,,30.0,28.0,3.0,2.2,30.0,9.0,81.1,100.0,0.03761,313,0.932,109.0,0.00855,,,,,,,,,,,
1056,Anthus rubescens,American pipit,5.1, Animalia, Chordata, Aves (Taxon entry), Passeriformes, Motacillidae, Anthus,365.0,365.0,,,,,,,,20.8,,,,,,14.0,5.0,1.0,1.85,,,,,,,
4423,Hippoglossoides platessoides,American plaice,30, Animalia, Chordata, Teleostei, Pleuronectiformes, Pleuronectidae, Hippoglossoides,3216.0,1460.0,,,,,,,,3520.0,,,,,,,,,,,,,,,,
1161,Setophaga ruticilla,American redstart,10.1, Animalia, Chordata, Aves (Taxon entry), Passeriformes, Parulidae, Setophaga,365.0,365.0,,,,,,,,8.5,0.681,,,,,12.0,4.0,1.0,,,,,,,,
1303,Turdus migratorius,American robin,17, Animalia, Chordata, Aves (Taxon entry), Passeriformes, Turdidae, Turdus,365.0,365.0,,,,,,,,75.5,0.4981,,,,,13.0,3.0,2.0,5.5,,,,,,,
3834,Alosa sapidissima,American shad,13, Animalia, Chordata, Teleostei, Clupeiformes, Clupeidae, Alosa,1678.0,1569.0,,,,,,,,3025.0,,,,,,,,,,,,,,,,
36,Anaxyrus americanus,American toad,36, Animalia, Chordata, Amphibia (Taxon entry), Anura, Bufonidae, Anaxyrus,910.0,910.0,,,,,,,,21.7667,,288,,21.6,0.000384,8.0,6000.0,,,,,63.0,0.0083,365.0,,
1194,Spizelloides arborea,American tree sparrow,10.8, Animalia, Chordata, Aves (Taxon entry), Passeriformes, Passerellidae, Spizelloides,365.0,365.0,,,,,,,,16.6,,,,,,12.0,4.0,1.0,1.6,,,,,,,
1372,Pelecanus erythrorhynchos,American white pelican,54, Animalia, Chordata, Aves (Taxon entry), Pelecaniformes, Pelecanidae, Pelecanus,1095.0,1095.0,,,,,,,,6129.0,,,,,,36.0,2.0,1.0,110.0,,,,,,,
290,Anas americana,American wigeon,21.3, Animalia, Chordata, Aves (Taxon entry), Anseriformes, Anatidae, Anas,365.0,365.0,,,,,,,,793.8,,,,,,23.0,9.0,1.0,24.0,,,,,,,
4646,Gemma gemma,Amethyst gemclam,6, Animalia, Mollusca, Bivalvia (Taxon entry), Veneroida, Veneridae, Gemma,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Amphibia,Amphibians,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2583,Erinaceus amurensis,Amur hedgehog,8, Animalia, Chordata, Mammalia (Taxon entry), Erinaceomorpha, Erinaceidae, Erinaceus,266.0,253.0,36.0,,,,,,,774.475,,,,,,,,,,,,,,,,
1870,Acipenser schrenckii,Amur sturgeon,60, Animalia, Chordata, Chondrostei, Acipenseriformes, Acipenseridae, Acipenser,4562.0,3285.0,,,,,,,,104500.0,,,,,,,,,,,,,,,,
3853,Cetengraulis mysticetus,Anchoveta,4, Animalia, Chordata, Teleostei, Clupeiformes, Engraulidae, Cetengraulis,365.0,365.0,,,,,,,,,,,,,,,,,,,,,,,,
283,Vultur gryphus,Andean condor,79, Animalia, Chordata, Aves (Taxon entry), Accipitriformes, Cathartidae, Vultur,2555.0,2555.0,,,,,,,,10500.0,0.0781,,,,,56.0,1.0,,,,,,,,,
1531,Bolborhynchus orbygnesius,Andean parakeet,9.2, Animalia, Chordata, Aves (Taxon entry), Psittaciformes (Taxon entry), Psittacidae, Bolborhynchus,,,,,,,,,,43.1,,,,,,,,,,,,,,,,
2964,Proechimys brevicauda,"Andean spiny rat, or Short-tailed spiny-rat",6.8, Animalia, Chordata, Mammalia (Taxon entry), Rodentia, Echimyidae, Proechimys,148.0,,64.0,,,,,,,285.0,,,,,,,,,,,,,,,,
3501,Cyclura cychlura,Andros island iguana,23.4, Animalia, Chordata, Reptilia (Taxon entry), Squamata, Iguanidae, Cyclura,3652.0,,,,,,,,,6755.0,,,,,,,,,,,,,,,,
4064,Lophius piscatorius,Anglerfish,24, Animalia, Chordata, Teleostei, Lophiiformes, Lophiidae, Lophius,1642.0,1642.0,,,,,,,,31735.0,,,,,,,,,,,,,,,,
2731,Colobus angolensis,Angolan colobus,35.3, Animalia, Chordata, Mammalia (Taxon entry), Primates (Taxon entry), Cercopithecidae, Colobus,1642.0,730.0,191.0,,1.0,,,,,8625.0,,,,,,,,,,,,,,,,
909,Magumma parva,Anianiau,9.5, Animalia, Chordata, Aves (Taxon entry), Passeriformes, Fringillidae, Magumma,365.0,365.0,,,,,,,,10.0,,,,,,14.0,3.0,1.0,1.2,,,,,,,
3727,Mauremys annamensis,Annam leaf turtle,23.9, Animalia, Chordata, Reptilia (Taxon entry), Testudines (Taxon entry), Geoemydidae, Mauremys,,,,,,,,,,,,,,,,,,,,,,,,,,
3986,Austrolebias adloffi,Annual fish,3.7, Animalia, Chordata, Teleostei, Cyprinodontiformes, Aplocheilidae, Austrolebias,,,,,,,,,,,,,,,,,,,,0.07,0.1,,,,,
4390,Diplodus annularis,Annular seabream,7, Animalia, Chordata, Teleostei, Perciformes, Sparidae, Diplodus,730.0,365.0,,,,,,,,,,,,,,,,,,,,,,,,
3301,Corallus annulatus,Annulated boa,15.3, Animalia, Chordata, Reptilia (Taxon entry), Squamata, Boidae, Corallus,,,,,,,,,,,,,,,,,,,,,,,,,,
1913,Bubalus depressicornis,Anoa,36.1, Animalia, Chordata, Mammalia (Taxon entry), Artiodactyla, Bovidae, Bubalus,730.0,730.0,300.0,,1.0,1.0,,,,155000.0,,,,,,,,,,,,,,,,
2842,Cryptomys anselli,Ansell's mole-rat,20.6, Animalia, Chordata, Mammalia (Taxon entry), Rodentia, Bathyergidae, Cryptomys,365.0,365.0,,,,,,,,90.0,0.0061,,,,,,,,,,2.0,,,,,
4132,Hyperoglyphe antarctica,Antarctic butterfish,15, Animalia, Chordata, Teleostei, Perciformes, Centrolophidae, Hyperoglyphe,2281.0,2281.0,,,,,,,,33000.0,,,,,,,,,,,,,,,,
1487,Thalassoica antarctica,Antarctic petrel,15, Animalia, Chordata, Aves (Taxon entry), Procellariiformes, Procellariidae, Thalassoica,,,,,,,,,,687.5,,,,,,,,,,,,,,,,
4255,Pleuragramma antarcticum,Antarctic silverfish,20, Animalia, Chordata, Teleostei, Perciformes, Nototheniidae, Pleuragramma,,,,,,,,,,110.0,,,,,,,,,,,,,,,,
4192,Harpagifer antarcticus,Antarctic spiny plunderfish,9, Animalia, Chordata, Teleostei, Perciformes, Harpagiferidae, Harpagifer,,,,,,,,,,,,,,,,,,,,,,,,,,
4252,Dissostichus mawsoni,Antarctic toothfish,31, Animalia, Chordata, Teleostei, Perciformes, Nototheniidae, Dissostichus,,,,,,,,,,44000.0,,,,,,,,,,,,,,,,
2526,Macropus antilopinus,Antilopine wallaroo,19.8, Animalia, Chordata, Mammalia (Taxon entry), Diprotodontia, Macropodidae, Macropus,802.0,670.0,34.0,426.0,1.0,,270.0,0.703,,49500.0,,,,,,,,,,,,,,,,
1440,Diomedea antipodensis,Antipodean albatross,30.3, Animalia, Chordata, Aves (Taxon entry), Procellariiformes, Diomedeidae, Diomedea,3671.0,,,,,,,,,7790.0,,,,,,,,,,,,,,,,
17,Formicidae,Ants,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900,Ammotragus lervia,Aoudad,21.7, Animalia, Chordata, Mammalia (Taxon entry), Artiodactyla, Bovidae, Ammotragus,335.0,,149.0,122.0,1.2,2.0,229.0,4500.0,,92500.0,0.00531,,,,,,,,,,,,,,,
1325,Myiarchus apicalis,Apical flycatcher,6, Animalia, Chordata, Aves (Taxon entry), Passeriformes, Tyrannidae, Myiarchus,,,,,,,,,,29.2,,,,,,,,,,,,,,,,
